date,vix_level,vix_5d_change,qqq_spy_rel_63d,hyg_tlt_rel_20d,qqq_voo_rel_20d,hy_oas_level,hy_oas_20d_change,curve_10y2y,cpi_yoy_proxy,pce_yoy_proxy,unemployment_rate,nonfarm_payrolls,initial_jobless_claims,news_count,news_official_rows,news_pending_rows,news_rejected_rows,news_signal_rows,news_fear_score,news_hype_score,policy_risk_score,news_sentiment_confidence,vix_percentile_252d,hy_oas_percentile_252d,news_fear_percentile_252d,news_hype_percentile_252d,policy_risk_percentile_252d,market_mood_score,market_mood_label,regime_window,data_origin
2006-09-20,11.390000343322754,,,,,,,-0.08,0.0,,4.5,136826.0,261089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-09-21,12.25,,,,,,,-0.06,0.0,,4.5,136826.0,261089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-09-22,12.59000015258789,,,,,,,-0.07,0.0,,4.5,136826.0,261089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-09-25,12.119999885559082,,,,,,,-0.07,0.0,,4.5,136826.0,248884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-09-26,11.529999732971191,,,,,,,-0.09,0.0,,4.5,136826.0,248884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-09-27,11.579999923706055,0.016681262041812417,,,,,,-0.06,0.0,,4.5,136826.0,248884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-09-28,11.720000267028809,-0.043265284324178865,,,,,,-0.05,0.0,,4.5,136826.0,248884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-09-29,11.979999542236328,-0.04845119959956279,,,,,,-0.07,0.0,,4.5,136826.0,248884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-02,12.569999694824219,0.037128697484668294,,,,,,-0.04,-0.005421389847215297,,4.4,136843.0,307102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-03,12.239999771118164,0.06157849562794482,,,,,,-0.05,-0.005421389847215297,,4.4,136843.0,307102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-04,11.859999656677246,0.02417959713436524,,,,,,-0.03,-0.005421389847215297,,4.4,136843.0,307102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-05,11.979999542236328,0.022184237993488898,,,,,,-0.04,-0.005421389847215297,,4.4,136843.0,307102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-06,11.5600004196167,-0.035058358820373337,,,,,,-0.04,-0.005421389847215297,,4.4,136843.0,307102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-09,11.680000305175781,-0.07080345356053597,,,,,,-0.04,-0.005421389847215297,,4.4,136843.0,307102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-10,11.520000457763672,-0.05882347441324487,,,,,,-0.07,-0.005421389847215297,,4.4,136843.0,271318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-11,11.619999885559082,-0.020236068976869026,,,,,,-0.07,-0.005421389847215297,,4.4,136843.0,271318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-12,11.09000015258789,-0.0742904360313773,,,,,,-0.06,-0.005421389847215297,,4.4,136843.0,271318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-13,10.75,-0.07006923790782671,,,,,,-0.06,-0.005421389847215297,,4.4,136843.0,271318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-16,11.09000015258789,-0.05051371037434327,,,,,,-0.06,0.0,,4.4,136843.0,290926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-17,11.729999542236328,0.018229086469448097,,,,,,-0.05,0.0,,4.4,136843.0,290926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-18,11.34000015258789,-0.024096362799380544,,,,,,-0.08,0.0,,4.4,136843.0,290926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-19,10.899999618530273,-0.017132599769467127,,,,,,-0.06,0.0,,4.4,136843.0,290926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-20,10.630000114440918,-0.01116278005200766,,,,,,-0.08,0.0,,4.4,136843.0,290926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-23,11.079999923706055,-0.0009017338813563924,,,,,,-0.07,0.0,,4.4,136843.0,300644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-24,10.779999732971191,-0.08098890420621607,,,,,,-0.08,0.0,,4.4,136843.0,300644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-25,10.65999984741211,-0.059964752735968796,,,,,,-0.1,0.0,,4.4,136843.0,300644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-26,10.5600004196167,-0.03119258814794512,,,,,,-0.08,0.0,,4.4,136843.0,300644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-27,10.800000190734863,0.015992481134877723,,,,,,-0.08,0.0,,4.4,136843.0,300644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-30,11.199999809265137,0.010830314655719375,,,,,,-0.1,0.0,,4.4,136843.0,326173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-10-31,11.100000381469727,0.0296846620060478,,,,,,-0.1,0.0,,4.4,136843.0,326173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-11-01,11.510000228881836,0.07973737276141502,,,,,,-0.09,-0.0014866204162538033,,4.5,137060.0,326173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-11-02,11.420000076293945,0.08143935819166015,,,,,,-0.07,-0.0014866204162538033,,4.5,137060.0,326173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-11-03,11.15999984741211,0.03333330095550213,,,,,,-0.1,-0.0014866204162538033,,4.5,137060.0,326173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
2006-11-06,11.15999984741211,-0.003571425226269853,,,,,,-0.11,-0.0014866204162538033,,4.5,137060.0,285815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,防守,outside_named_windows,reconstructed
