run_id,started_at_utc,finished_at_utc,status,success_count,fallback_count,failure_count,failed_modules
20260525T103448+0000,2026-05-25T10:34:48+00:00,2026-05-25T10:35:20+00:00,partial,17,2,0,
20260525T103557+0000,2026-05-25T10:35:57+00:00,2026-05-25T10:36:06+00:00,success,19,0,0,
20260525T121400+0000,2026-05-25T12:14:00+00:00,2026-05-25T12:14:33+00:00,success,19,0,0,
20260525T125106+0000,2026-05-25T12:51:06+00:00,2026-05-25T12:51:38+00:00,partial,18,1,0,
20260525T215749+0000,2026-05-25T21:57:49+00:00,2026-05-25T21:58:30+00:00,success,19,0,0,
20260526T193507+0000,2026-05-26T19:35:07+00:00,2026-05-26T19:35:41+00:00,success,19,0,0,
20260527T123819+0000,2026-05-27T12:38:19+00:00,2026-05-27T12:38:59+00:00,success,19,0,0,
20260527T230356+0000,2026-05-27T23:03:56+00:00,2026-05-27T23:04:31+00:00,success,19,0,0,
20260528T120647+0000,2026-05-28T12:06:47+00:00,2026-05-28T12:07:21+00:00,success,19,0,0,
20260528T125004+0000,2026-05-28T12:50:04+00:00,2026-05-28T12:50:39+00:00,success,19,0,0,
20260528T230145+0000,2026-05-28T23:01:45+00:00,2026-05-28T23:02:19+00:00,success,19,0,0,
20260529T110028+0000,2026-05-29T11:00:28+00:00,2026-05-29T11:01:15+00:00,success,19,0,0,
20260529T115947+0000,2026-05-29T11:59:47+00:00,2026-05-29T12:00:31+00:00,success,19,0,0,
20260529T204120+0000,2026-05-29T20:41:20+00:00,2026-05-29T20:42:02+00:00,success,19,0,0,
20260530T081013+0000,2026-05-30T08:10:13+00:00,2026-05-30T08:10:48+00:00,success,19,0,0,
20260530T084341+0000,2026-05-30T08:43:41+00:00,2026-05-30T08:44:12+00:00,success,19,0,0,
20260530T155439+0000,2026-05-30T15:54:39+00:00,2026-05-30T15:58:11+00:00,partial,17,2,0,
20260530T213800+0000,2026-05-30T21:38:00+00:00,2026-05-30T21:38:33+00:00,success,19,0,0,
20260531T093828+0000,2026-05-31T09:38:28+00:00,2026-05-31T09:39:00+00:00,partial,18,1,0,
20260531T095923+0000,2026-05-31T09:59:23+00:00,2026-05-31T09:59:56+00:00,success,19,0,0,
20260531T155719+0000,2026-05-31T15:57:19+00:00,2026-05-31T15:58:03+00:00,success,19,0,0,
20260531T213800+0000,2026-05-31T21:38:00+00:00,2026-05-31T21:38:31+00:00,success,19,0,0,
20260601T192444+0000,2026-06-01T19:24:44+00:00,2026-06-01T19:25:25+00:00,success,19,0,0,
20260601T193007+0000,2026-06-01T19:30:07+00:00,2026-06-01T19:30:43+00:00,success,19,0,0,
20260602T125333+0000,2026-06-02T12:53:33+00:00,2026-06-02T12:54:08+00:00,success,19,0,0,
20260602T125940+0000,2026-06-02T12:59:40+00:00,2026-06-02T13:00:13+00:00,success,19,0,0,
20260603T001458+0000,2026-06-03T00:14:58+00:00,2026-06-03T00:20:03+00:00,partial,18,1,0,
20260603T160455+0000,2026-06-03T16:04:55+00:00,2026-06-03T16:09:40+00:00,partial,18,1,0,
20260603T200001+0000,2026-06-03T20:00:01+00:00,2026-06-03T20:04:39+00:00,partial,18,1,0,
20260604T105114+0000,2026-06-04T10:51:14+00:00,2026-06-04T10:55:48+00:00,partial,18,1,0,
20260604T113656+0000,2026-06-04T11:36:56+00:00,2026-06-04T11:41:31+00:00,partial,18,1,0,
20260604T194851+0000,2026-06-04T19:48:51+00:00,2026-06-04T19:58:50+00:00,partial,14,5,0,
20260605T113934+0000,2026-06-05T11:39:34+00:00,2026-06-05T11:44:12+00:00,partial,18,1,0,
20260605T115126+0000,2026-06-05T11:51:26+00:00,2026-06-05T11:55:59+00:00,partial,17,2,0,
