date,change_summary,reason,source
2026-07-15,建立專案記憶目錄與初始檔案,把已確認的核心規則與決策落地保存,使用者確認
2026-07-15,加入 Word 摘要輸出需求,需要一份可人工快速查看的專案摘要,使用者確認
2026-07-15,規劃 Streamlit 專案記憶頁籤,讓使用者在前台直接查看專案記憶與討論摘要,使用者確認
2026-07-15,加入敏感資訊過濾規則,避免 API key 密碼與 token 被保存進專案記憶,系統檢查
2026-07-17,記錄資料健康檢查增加最新掃描時間,區分資料日期與系統掃描狀態,使用者確認
2026-07-17,完成資料健康掃描欄位與 LSTM 訓練/監控分層,避免事件窗誤判與六小時更新覆蓋模型資料,使用者確認
2026-07-24,KG 預測 V2 多因子趨勢觀察,降低單一來源與二元命中標籤造成的假確定性，保留可回測的原始數值。,Codex 已確認決策
2026-07-24,專案記憶受控寫入流程,GitHub Actions 能重建 Word，但無法理解私人聊天內容；必須避免未確認討論被誤寫為既定規則。,Codex 已確認決策
2026-07-24,分層隨機歷史回測與多來源資料方向,避免近年多頭偏誤與同一媒體重複報導污染，同時保留時間點正確性與資料覆蓋率。,Codex 已確認決策
2026-07-24,分層歷史市場樣本基線已建立,先建立不含未來洩漏的市場技術基線，再逐步補齊多來源 KG 新聞與 point-in-time 基本面。,Codex 已確認決策
2026-07-24,KG 新聞出版者與跨來源識別修正,避免不同媒體被誤判為單一 Google 來源，也避免同一家轉載被虛增為多重證據。,Codex 已確認決策
